Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.12707E-3,92.322374171,0.940029228,0.005964406,0.916455696,0
1.12904E-3,92.548014639,0.940324124,0.005772006,0.916455696,0
1.1319E-3,92.774251374,0.940748364,0.005579606,0.918987342,0
1.13293E-3,93.000776015,0.940900774,0.005387205,0.918987342,0
1.14894E-3,93.344279814,0.943215833,0.005098605,0.921518987,0
1.15311E-3,93.574891458,0.943804452,0.004906205,0.926582278,0
1.15974E-3,93.806388024,0.944726248,0.004713805,0.929113924,0
1.16301E-3,94.038679917,0.945175857,0.004521405,0.929113924,0
1.16483E-3,94.271619596,0.945425322,0.004329004,0.929113924,0
1.16655E-3,94.504870309,0.945659207,0.004136604,0.93164557,0
1.16758E-3,94.855041235,0.945798002,0.003848004,0.939240506,0
1.18934E-3,95.091537524,0.948664012,0.003655604,0.944303797,0
1.19416E-3,95.330369747,0.949278601,0.003463203,0.946835443,0
1.19864E-3,95.569715289,0.949842474,0.003270803,0.951898734,0
1.2058E-3,95.810662599,0.950730796,0.003078403,0.951898734,0
